목	자연	나무가 많은 길을 천천히 걸어봐요
목	자연	꽃시장이나 화원에서 초록을 가까이 느껴봐요
목	자연	공원에서 초록빛 풍경을 찍어봐요
목	탐색	처음 가는 동네를 가볍게 걸어봐요
목	탐색	평소와 다른 길로 돌아가봐요
목	탐색	새로운 취향의 공간을 찾아가봐요
목	시작	미뤄둔 일을 시작해봐요
목	시작	오늘의 작은 목표를 하나 적어봐요
목	시작	배우고 싶은 것을 찾아봐요
목	확장	독립서점에서 낯선 책을 펼쳐봐요
목	확장	나와 다른 취향을 가진 사람과 이야기해봐요
목	확장	새로운 장소에 가보아요
목	이동	산책로를 따라 끝까지 걸어봐요
목	이동	평소와 다른 대중교통을 타봐요
목	이동	계단을 올라 평소보다 높은 곳에 가봐요
화	햇빛	노을이 번지는 시간을 천천히 바라봐요
화	햇빛	명이 화려한 거리의 분위기를 즐겨봐요
화	햇빛	햇살이 드는 창가 자리에 앉아봐요
화	즐거움	포토부스에서 유쾌한 사진을 남겨봐요
화	전망	높은 곳에서 도시의 흐름을 바라봐요
화	전망	넓게 열린 광장을 천천히 걸어봐요
화	활동	활기 있는 거리를 힘차게 걸어봐요
화	활동	신나는 음악에 맞춰 리듬을 타며 걸어봐요
화	활동	평소보다 조금 빠른 걸음으로 걸어봐요
화	표현	글 대신 짧은 음성 메시지를 보내봐요
화	표현	오늘 느낀 감정을 솔직하게 적어봐요
화	표현	마음에 드는 장면을 사진으로 남겨봐요
화	교류	보고 싶었던 사람에게 먼저 연락해봐요
화	교류	공연이나 문화 행사를 즐겨봐요
화	교류	사람들의 활기가 느껴지는 곳에 머물러봐요
토	머무름	오래 머물 수 있는 공원에 앉아봐요
토	머무름	익숙한 장소에서 여유를 가져봐요
토	걷기	넓고 평탄한 길을 천천히 걸어봐요
토	생활	제철 식물이나 과일을 골라봐요
토	생활	휴대폰 없이 차 한 잔을 천천히 마셔봐요
토	생활	오늘 할 일을 세 가지만 정해봐요
토	생활	밀린 일 하나를 차분히 마무리해봐요
토	생활	일정 사이에 충분한 여백을 남겨봐요
토	정돈	눈에 보이는 공간부터 정리해봐요
토	정돈	매일 쓰는 물건 하나를 정성껏 닦아봐요
토	정돈	흐트러진 생활 리듬을 가볍게 점검해봐요
토	감각	돌이나 나무 벤치의 단단한 감촉을 느껴봐요
토	감각	따뜻한 식사를 천천히 즐겨봐요
토	감각	도예나 공예처럼 손을 이용한 활동을 해봐요
토	감각	편안한 자리에 앉아 호흡을 가다듬어봐요
금	공간	정돈된 전시 공간을 둘러봐요
금	공간	선이 또렷한 건축물을 감상해봐요
금	공간	대칭이 돋보이는 장면을 사진으로 남겨봐요
금	집중	한 작품을 골라 오래 바라봐요
금	집중	집중할 30분 동안 휴대폰을 꺼봐요
금	집중	복잡한 생각을 짧게 목록으로 적어봐요
금	정리	휴대폰 사진 열 장을 골라 지워봐요
금	정리	책상 위부터 가볍게 정리해봐요
금	정리	불필요한 알림 하나를 꺼봐요
금	판단	미뤄둔 결정 하나를 마무리해봐요
금	판단	타이머를 맞추고 한 가지 일만 끝내봐요
금	판단	선택지 하나를 과감하게 덜어내봐요
금	경계	불편한 부탁에는 솔직하게 답해봐요
금	경계	필요 없는 일정 하나를 줄여봐요
금	경계	혼자 집중할 시간을 미리 확보해봐요
수	물가	강이나 하천을 따라 천천히 걸어봐요
수	물가	물이 보이는 공간에 잠시 머물러봐요
수	물가	수족관이나 분수 주변을 천천히 둘러봐요
수	고요	도서관에서 시간을 보내봐요
수	고요	조용한 공간에서 시 한 편을 읽어봐요
수	고요	창가에 앉아 구름의 움직임을 바라봐요
수	사유	떠오르는 감정을 짧게 적어봐요
수	사유	답을 정하지 않은 질문 하나를 품어봐요
수	사유	최근 꾼 꿈이나 직감을 기록해봐요
수	유연성	목적지를 정하지 않고 천천히 걸어봐요
수	유연성	계획 사이에 즉흥적인 시간을 남겨봐요
수	유연성	평소보다 한 정거장 더 가서 내려봐요
수	회복	아무것도 하지 않는 시간을 가져봐요
수	회복	떠오르는 생각을 순서 없이 다섯 줄 적어봐요
수	회복	깊게 숨을 쉬며 몸의 긴장을 풀어봐요
